"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt"
"1","cexp1",12,5494.2902060902,0,1,0.0780011491766562,-2735.1451030451,0.0780011491766562
"16","ceh1",13,5494.41045489653,0.120248806329982,0.941647382382736,0.0734495779450435,-2734.20522744827,0.1514507271217
"19","ceh4",13,5494.45539357103,0.165187480823079,0.92072512465925,0.0718176177992415,-2734.22769678551,0.223268344920941
"42","cehv7",14,5494.45602492741,0.165818837209372,0.920434517687068,0.0717949501214526,-2733.22801246371,0.295063295042394
"22","cev2",13,5494.49146516982,0.201259079613919,0.904267966127609,0.0705339405215911,-2734.24573258491,0.365597235563985
"18","ceh3",13,5494.85924270096,0.569036610756484,0.752376582800008,0.0586862380720062,-2734.42962135048,0.424283473635991
"43","cehv8",14,5494.86356040179,0.573354311583898,0.750754066318318,0.0585596799218764,-2733.43178020089,0.482843153557867
"40","cehv5",14,5494.94920745386,0.659001363655989,0.719282794751776,0.0561048845736354,-2733.47460372693,0.538948038131503
"36","cehv1",14,5494.97501607106,0.684809980852151,0.710060578733904,0.0553855411262861,-2733.48750803553,0.594333579257789
"21","cev1",13,5495.21193696518,0.921730874979403,0.630737545315343,0.04919825336346,-2734.60596848259,0.643531832621249
"17","ceh2",13,5495.30261755727,1.01241146706343,0.602778347028108,0.0470174037669976,-2734.65130877863,0.690549236388247
"20","ceh5",13,5495.49771798214,1.20751189194107,0.546754195477469,0.0426474555644006,-2734.74885899107,0.733196691952647
"41","cehv6",14,5495.70152383935,1.41131774914265,0.493783125907684,0.0385156512648408,-2733.85076191967,0.771712343217488
"38","cehv3",14,5495.80991897725,1.51971288705136,0.467733568372503,0.0364837558415533,-2733.90495948863,0.808196099059041
"37","cehv2",14,5495.94785060642,1.6576445162209,0.436563142367444,0.0340524267928328,-2733.97392530321,0.842248525851874
"39","cehv4",14,5496.16086001203,1.87065392182194,0.392457526281393,0.0306121380529764,-2734.08043000601,0.872860663904851
"46","cehv11",15,5496.18738799639,1.8971819061826,0.387286343798817,0.0302087798767333,-2733.09369399819,0.903069443781584
"23","cev3",14,5496.23098115451,1.94077506430949,0.378936159698706,0.0295574559210879,-2734.11549057726,0.932626899702672
