"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL"
"1","cexp1",12,5494.2902060902,0,1,0.0780011491766562,-2735.1451030451
"2","cexp2",9,5511.23062780484,16.9404217146339,0.000209620698644773,1.63506553855058e-05,-2746.61531390242
"3","cexp3",9,5510.80931929984,16.5191132096406,0.000258773704801797,2.0184646351241e-05,-2746.40465964992
"4","cexp4",9,5510.87972523474,16.5895191445416,0.000249822579943367,1.94864483258597e-05,-2746.43986261737
"5","chaz1",9,5508.6808037453,14.3905976551005,0.000750103900108922,5.85089662103876e-05,-2745.34040187265
"6","chaz2",9,5509.93598406765,15.6457779774473,0.000400463076696385,3.12365801851375e-05,-2745.96799203383
"7","chaz3",9,5509.5780349605,15.2878288702941,0.000478949959283658,3.7358647222238e-05,-2745.78901748025
"8","chaz4",9,5508.98223835111,14.6920322609049,0.000645157470631221,5.032302410914e-05,-2745.49111917555
"9","chaz5",9,5511.31144125607,17.021235165862,0.000201319455052688,1.57031488457278e-05,-2746.65572062803
"10","chaz6",9,5510.50833997486,16.2181338846522,0.00030079940548819,2.34626992997338e-05,-2746.25416998743
"11","cvul1",10,5508.89193157461,14.6017254844082,0.000674956210719581,5.26473600800486e-05,-2744.44596578731
"12","cvul2",9,5506.95042342996,12.660217339755,0.00178184012623183,0.000138985577495161,-2744.47521171498
"13","cvul3",9,5506.79554052418,12.505334433974,0.00192531205673226,0.000150176552948788,-2744.39777026209
"14","cvul4",10,5508.73332482791,14.4431187377022,0.000730662158257814,5.69924880040053e-05,-2744.36666241395
"15","cvul5",12,5513.19333535161,18.9031292614081,7.85665414304178e-05,6.12828051840796e-06,-2744.59666767581
"16","ceh1",13,5494.41045489653,0.120248806329982,0.941647382382736,0.0734495779450435,-2734.20522744827
"17","ceh2",13,5495.30261755727,1.01241146706343,0.602778347028108,0.0470174037669976,-2734.65130877863
"18","ceh3",13,5494.85924270096,0.569036610756484,0.752376582800008,0.0586862380720062,-2734.42962135048
"19","ceh4",13,5494.45539357103,0.165187480823079,0.92072512465925,0.0718176177992415,-2734.22769678551
"20","ceh5",13,5495.49771798214,1.20751189194107,0.546754195477469,0.0426474555644006,-2734.74885899107
"21","cev1",13,5495.21193696518,0.921730874979403,0.630737545315343,0.04919825336346,-2734.60596848259
"22","cev2",13,5494.49146516982,0.201259079613919,0.904267966127609,0.0705339405215911,-2734.24573258491
"23","cev3",14,5496.23098115451,1.94077506430949,0.378936159698706,0.0295574559210879,-2734.11549057726
"24","chv1",10,5505.47063572651,11.1804296363025,0.00373422559908099,0.000291273888013204,-2742.73531786325
"25","chv2",10,5506.8935430674,12.603336977194,0.00183324347802926,0.000142995098006892,-2743.4467715337
"26","chv3",10,5507.50376392266,13.213557832456,0.00135117740304807,0.00010539339017928,-2743.75188196133
"27","chv4",10,5507.94745195633,13.657245866124,0.00108234755687518,8.44243532448103e-05,-2743.97372597816
"28","chv5",10,5506.6752560575,12.3850499672972,0.00204465750312424,0.000159485634916363,-2743.33762802875
"29","chv6",10,5507.65912197133,13.3689158811267,0.00125019224866305,9.75164320874654e-05,-2743.82956098567
"30","chv7",10,5506.07839024249,11.7881841522849,0.00275567715265211,0.00021494598466672,-2743.03919512124
"31","chv8",10,5506.64804982623,12.3578437360238,0.00207266125287208,0.00016166995957795,-2743.32402491311
"32","chv9",11,5508.58360477981,14.2933986896087,0.000787458927008502,6.14227012360798e-05,-2743.29180238991
"33","chv10",11,5509.57643268183,15.2862265916265,0.000479333818676868,3.73885886960306e-05,-2743.78821634091
"34","chv11",11,5508.00844869344,13.7182426032359,0.00104983601666083,8.1888415746588e-05,-2743.00422434672
"35","chv12",11,5508.5758795018,14.2856734115967,0.000790506478582264,6.16604137610083e-05,-2743.2879397509
"36","cehv1",14,5494.97501607106,0.684809980852151,0.710060578733904,0.0553855411262861,-2733.48750803553
"37","cehv2",14,5495.94785060642,1.6576445162209,0.436563142367444,0.0340524267928328,-2733.97392530321
"38","cehv3",14,5495.80991897725,1.51971288705136,0.467733568372503,0.0364837558415533,-2733.90495948863
"39","cehv4",14,5496.16086001203,1.87065392182194,0.392457526281393,0.0306121380529764,-2734.08043000601
"40","cehv5",14,5494.94920745386,0.659001363655989,0.719282794751776,0.0561048845736354,-2733.47460372693
"41","cehv6",14,5495.70152383935,1.41131774914265,0.493783125907684,0.0385156512648408,-2733.85076191967
"42","cehv7",14,5494.45602492741,0.165818837209372,0.920434517687068,0.0717949501214526,-2733.22801246371
"43","cehv8",14,5494.86356040179,0.573354311583898,0.750754066318318,0.0585596799218764,-2733.43178020089
"44","cehv9",15,5496.64081796812,2.35061187791962,0.30872451438165,0.0240808669007738,-2733.32040898406
"45","cehv10",15,5497.40841827816,3.11821218795194,0.210323997082202,0.0164055134718394,-2733.70420913908
"46","cehv11",15,5496.18738799639,1.8971819061826,0.387286343798817,0.0302087798767333,-2733.09369399819
"47","cehv12",15,5496.58930920718,2.29910311698131,0.31677879429238,0.0247091099896012,-2733.29465460359
