"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL"
"1","pexp1",11,849.70182155788,12.3361982271944,0.00209521498319248,0.000595236727921932,-413.85091077894
"2","pexp2",8,851.160178423269,13.7945550925834,0.00101053281634743,0.000287085693776332,-417.580089211635
"3","pexp3",8,851.200854305805,13.8352309751187,0.000990188243898085,0.000281305935215581,-417.600427152902
"4","pexp4",8,851.179847514178,13.8142241834918,0.00100064339412551,0.000284276174289485,-417.589923757089
"5","phaz1",8,849.869474422647,12.5038510919608,0.00192674053452821,0.000547374250626846,-416.934737211323
"6","phaz2",8,848.380469631921,11.0148463012346,0.00405654703746661,0.00115243820066802,-416.19023481596
"7","phaz3",8,845.078385577823,7.71276224713711,0.0211443801326086,0.00600697863705339,-414.539192788912
"8","phaz4",8,841.931530606316,4.56590727562991,0.101982541938266,0.0289725660877054,-412.965765303158
"9","phaz5",8,851.057198839432,13.6915755087463,0.00106392779269593,0.000302254853630621,-417.528599419716
"10","phaz6",8,849.734915189568,12.3692918588816,0.00206083110309245,0.000585468494853638,-416.867457594784
"11","pvul1",9,843.296048467505,5.93042513681905,0.0515495102829781,0.0146448751431055,-412.648024233752
"12","pvul2",8,846.970893921079,9.60527059039316,0.00820808778796089,0.00233186348732452,-415.48544696054
"13","pvul3",8,847.404046920374,10.0384235896884,0.00660973448344642,0.00187778187819401,-415.702023460187
"14","pvul4",9,848.263674751833,10.898051421147,0.00430049257475987,0.00122174151539917,-415.131837375916
"15","pvul5",11,852.773836429822,15.4082130991361,0.000450971438575411,0.000128118004900318,-415.386918214911
"16","peh1",12,842.950790334763,5.58516700407745,0.0612627368846413,0.0174043386188433,-409.475395167382
"17","peh2",9,843.512072514705,6.14644918401893,0.0462717066566416,0.0131454860177145,-412.756036257352
"18","peh3",9,843.632063307888,6.26643997720237,0.0435772528410642,0.0123800094983183,-412.816031653944
"19","peh4",9,843.845690742335,6.48006741164886,0.0391625750698613,0.0111258287233429,-412.922845371167
"20","pev1",13,845.279226150634,7.91360281994764,0.0191241870000613,0.00543305512102567,-409.639613075317
"21","pev2",10,844.602518263623,7.23689493293682,0.0268242897906204,0.00762060342823145,-412.301259131811
"22","pev3",10,844.786523153735,7.42089982304901,0.0244665130288447,0.0069507746344762,-412.393261576867
"23","pev4",10,845.162015113005,7.79639178231866,0.0202784630187897,0.00576097730849484,-412.581007556502
"24","phv1",10,837.365623330686,0,1,0.284093390271087,-408.682811665343
"25","pehv1",14,839.210425481946,1.84480215125984,0.397563314571886,0.112945109884138,-405.605212740973
"26","pehv2",11,838.323913250218,0.958289919532376,0.619312702760983,0.175942645365318,-408.161956625109
"27","pehv3",11,838.57397581795,1.20835248726371,0.546524444253125,0.155263982233892,-408.286987908975
"28","pehv4",11,838.887829965542,1.52220663485616,0.467150727033161,0.132714433810454,-408.443914982771
